91.IV.2,collection,dc.coverage.temporal[],dc.date.issued,dc.description[en],dc.identifier.isbn[],dc.identifier.issn[],dc.identifier.other[],dc.identifier.uri,dc.language[],dc.title[en],dc.title[es],dc.title[fr],dc.title[ru],dcterms.publisher[en],undr.contributor.corporate[en],undr.contributor.corporate[es],undr.contributor.corporate[fr],undr.contributor.corporate[ru],undr.identifier.salesnumber[],undr.identifier.symbol[],
419703,11176/387434,1966-01-01 00:00:00,1968-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397882,Spanish,,Estado comparativo de las previsiones y las estadísticas de estupefacientes facilitadas para 1966 por los gobiernos en cumplimiento de los tratados internacionales,,,,,Comité Central Permanente de Estupefacientes,,,S.68.XI.4,E/DSB/25/Add.3||E/OB/23/Add.3,
419702,11176/387434,1955-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397881,English,"India : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1956/78,
419701,11176/387434,1977-01-01 00:00:00,1972-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397880,Spanish,,"Informe de la Subcomisión de asuntos juridicos sobre la labor realizada en su l6. periodo de sesiones, 14 de marzo a 3 de abril de 1977",,,,,Comisión sobre la Utilización del Espacio Ultraterrestre con Fines Pacíficos,,,,A/AC.105/196,
419700,11176/387434,1978-01-01 00:00:00||1977-01-01 00:00:00,1979-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397879,English,Australia : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1979/33-38,
419699,11176/387434,1992-01-01 00:00:00,1995-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397878,French,,,Tunisie : Lois et règlements promulgués pour donner effet aux dispositions des traités internationaux sur les stupéfiants et les substances psychotropes,,,,,,,,E/NL.1995/38,
419698,11176/387434,1954-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397877,English,"Swaziland, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1956/14,
419697,11176/387434,2000-01-01 00:00:00,2000-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397876,French,,,"Mise en oeuvre des recommandations de la troisième Conférence des Nations Unies sur l’exploration et les utilisations pacifiques de l’espace extra-atmosphérique (UNISPACE III) : rapport du Secrétaire général, cinquante-cinquième session, point 84 de l’ordre du jour provisoire, coopération internationale touchant les utilisations pacifiques de l’espace",,,,,,,,A/55/153,
419696,11176/387434,1966-01-01 00:00:00,1967-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397875,English,Statistics on narcotic drugs for 1966 furnished by governments in accordance with the international treaties and maximum levels of opium stocks,,,,,Permanent Central Narcotics Board,,,,E.68.XI.2,E/OB/23/Add.2||E/DSB/25/Add.2,
419695,11176/387434,1952-01-01 00:00:00,1953-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397874,English,"Swaziland, communicated by the Government of the United Kingdom of Great Britain and Northern Ireland : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1953/66,
419694,11176/387434,1968-01-01 00:00:00,1967-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397873,French,,,"Évaluations pour 1968 des besoins du monde en stupéfiants et de la production mondiale d'opium : état dressé par l'organe de contrôle en vertu de l'article 5 de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946, et en vertu de l'article 12 de la Convention unique sur les stupéfiants de 1961",,,,,Organe de contrôle des stupéfiants,,F.68.XI.1,E/DSB/25/Add.1||E/OB/23/Add.1,
419693,11176/387434,1947-01-01 00:00:00,1947-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397872,English,"Venezuela, communicated by the government of the United States of Venezuela : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1947/12,
419692,11176/387434,1954-01-01 00:00:00||1949-01-01 00:00:00,1956-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397871,French,,,"Grenade, communiqués par le gouvernement du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord : Lois et règlements promulgués pour donner effet aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1956/95-96,
419691,11176/387434,1996-01-01 00:00:00,1997-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397870,Spanish,,Perú : Leyes y reglamentos promulgados para dar efecto a las disposiciones de tratados internacionales sobre los estupefacientes y sustancias sicotrópicas,,,,,,,,,E/NL.1997/41,
419690,11176/387434,1958-01-01 00:00:00,1959-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397869,English,"Pakistan : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1959/15,
419689,11176/387434,1981-01-01 00:00:00,1981-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397868,English,Report of the International Narcotics Control Board for 1981,,,,,International Narcotics Control Board,,,,E.82.XI.1,E/INCB/56,
419688,11176/387434,1982-01-01 00:00:00,1982-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397867,French,,,"Rapport de la Commission des Nations Unies pour le droit commercial international sur les travaux de sa quinzième session, 26 juillet-6 août 1982 : Assemblée générale, documents officiels, trente-septième session, supplément n° 17, a/37/17",,,,,Commission des Nations Unies pour le droit commercial international,,,A/37/17,
419687,11176/387434,1947-01-01 00:00:00,1948-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397866,French,,,"Australie Méridionale, communiqués par le gouvernement de l'Australie : Lois et règlements communiqués conformément aux dispositions de la Convention du 13 juillet 1931 pour limiter la fabrication et réglementer la distribution des stupéfiants, amendée par le Protocole du 11 décembre 1946",,,,,,,,E/NL.1948/58,
419686,11176/387434,1990-01-01 00:00:00,1990-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397865,English,Peru : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1990/13,
419685,11176/387434,1981-01-01 00:00:00,1981-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397864,French,,,Rapport de l'Organe international de contrôle des stupéfiants pour 1981,,,,,Organe international de contrôle des stupéfiants,,F.82.XI.1,E/INCB/56,
419684,11176/387434,1995-01-01 00:00:00,1995-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397863,French,,,"Application des recommandations de la deuxième Conference des Nations Unies sur l'exploration et les utilisations pacifiques de l'espace extra-atmospherique : coopération internationale dans le domaine des utilisations pacifiques de l'espace, activités des états membres, note du secrétariat, additif",,,,,Comité des utilisations pacifiques de l'espace extra-atmosphérique,,,A/AC.105/592/Add.6,
419683,11176/387434,1954-01-01 00:00:00,1955-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397862,English,"Canada : Laws and regulations promulgated to give effect to the provisions of the Convention of 13 Jul 1931 for Limiting the Manufacture and Regulating the Distribution of Narcotic Drugs, as amended by the Protocol of 11 Dec. 1946",,,,,,,,,,E/NL.1955/8,
419682,11176/387434,1992-01-01 00:00:00,1993-01-01 00:00:00,,,,,http://hdl.handle.net/11176/397861,English,Philippines : Laws and regulations promulgated to give effect to the provisions of the international treaties on narcotic drugs and psychotropic substances,,,,,,,,,,E/NL.1993/45-47,
